english,german,latin,system
abdominal aorta,Bauchaorta,Aorta abdominalis,arterial
accessory subsuperior branch of right posterior basal segmental artery,Akzessorischer subsuperiorer Ast der rechten hinteren basalen Segmentarterie,Ramus subsuperior accessorius arteriae segmentalis basalis posterioris dextrae,arterial
acromial branch of left thoraco-acromial artery,Schulterhöhenast der linken Brust-Schulterhöhen-Arterie,Ramus acromialis arteriae thoracoacromialis sinistrae,arterial
acromial branch of right thoraco-acromial artery,Schulterhöhenast der rechten Brust-Schulterhöhen-Arterie,Ramus acromialis arteriae thoracoacromialis dextrae,arterial
anterior branch of lateral segmental artery,Vorderer Ast der seitlichen Segmentarterie,Ramus anterior arteriae segmentalis lateralis,arterial
anterior branch of right anterior segmental artery,Vorderer Ast der rechten vorderen Segmentarterie,Ramus anterior arteriae segmentalis anterioris dextrae,arterial
anterior cecal artery,Vordere Blinddarmarterie,Arteria caecalis anterior,arterial
anterior communicating artery,Vordere Verbindungsarterie,Arteria communicans anterior,arterial
anterior division of left renal artery,Vorderer Ast der linken Nierenarterie,Ramus anterior arteriae renalis sinistrae,arterial
anterior division of right renal artery,Vorderer Ast der rechten Nierenarterie,Ramus anterior arteriae renalis dextrae,arterial
anterior inferior cerebellar artery,Vordere untere Kleinhirnarterie,Arteria inferior anterior cerebelli,arterial
anterior inferior pancreaticoduodenal artery,Vordere untere Pankreas-Duodenal-Arterie,Arteria pancreaticoduodenalis inferior anterior,arterial
anterior inferior segmental hepatic artery,Vordere untere Lebersegmentarterie,Arteria segmentalis hepatica anterior inferior,arterial
anterior part of right apical segmental artery,Vorderer Teil der rechten apikalen Segmentarterie,Pars anterior arteriae segmentalis apicalis dextrae,arterial
anterior superior pancreaticoduodenal artery,Vordere obere Pankreas-Duodenal-Arterie,Arteria pancreaticoduodenalis superior anterior,arterial
anterior superior segmental hepatic artery,Vordere obere Lebersegmentarterie,Arteria segmentalis hepatica anterior superior,arterial
anterior temporal branch of left lateral occipital artery,Vorderer Schläfenast der linken seitlichen Hinterhauptarterie,Ramus temporalis anterior arteriae occipitalis lateralis sinistrae,arterial
anterior temporal branch of right lateral occipital artery,Vorderer Schläfenast der rechten seitlichen Hinterhauptarterie,Ramus temporalis anterior arteriae occipitalis lateralis dextrae,arterial
anterolateral central branch of left middle cerebral artery,Anterolateraler zentraler Ast der linken mittleren Hirnarterie,Ramus centralis anterolateralis arteriae cerebri mediae sinistrae,arterial
anterolateral central branch of right middle cerebral artery,Anterolateraler zentraler Ast der rechten mittleren Hirnarterie,Ramus centralis anterolateralis arteriae cerebri mediae dextrae,arterial
apical part of right apical segmental artery,Apikaler Teil der rechten apikalen Segmentarterie,Pars apicalis arteriae segmentalis apicalis dextrae,arterial
apical part of right posterior segmental artery,Apikaler Teil der rechten hinteren Segmentarterie,Pars apicalis arteriae segmentalis posterioris dextrae,arterial
appendicular artery,Wurmfortsatzarterie,Arteria appendicularis,arterial
arch of aorta,Aortenbogen,Arcus aortae,arterial
artery of central sulcus,Arterie des Sulcus centralis,Arteria sulci centralis,arterial
artery of left postcentral sulcus,Arterie des linken Sulcus postcentralis,Arteria sulci postcentralis sinistri,arterial
artery of left precentral sulcus,Arterie des linken Sulcus precentralis,Arteria sulci precentralis sinistri,arterial
artery of right postcentral sulcus,Arterie des rechten Sulcus postcentralis,Arteria sulci postcentralis dextri,arterial
artery of right precentral sulcus,Arterie des rechten Sulcus precentralis,Arteria sulci precentralis dextri,arterial
ascending aorta,Aufsteigende Aorta,Aorta ascendens,arterial
ascending branch of inferior branch of ileocolic artery,Aufsteigender Ast des unteren Astes der Ileokolikarterie,Ramus ascendens rami inferioris arteriae ileocolicae,arterial
ascending branch of left colic artery,Aufsteigender Ast der linken Dickdarmarterie,Ramus ascendens arteriae colicae sinistrae,arterial
basal branch of right anterior basal segmental artery,Basaler Ast der rechten vorderen basalen Segmentarterie,Ramus basalis arteriae segmentalis basalis anterioris dextrae,arterial
basilar artery,Basilararterie,Arteria basilaris,arterial
brachiocephalic artery,Arm-Kopf-Stamm,Truncus brachiocephalicus,arterial
branch of left anterior choroidal artery to posterior limb of left internal capsule,Ast der linken vorderen Aderhautarterie zum hinteren Schenkel der linken inneren Kapsel,Ramus arteriae choroideae anterioris sinistrae ad crus posterius capsulae internae sinistrae,arterial
branch of left middle cerebral artery to left angular gyrus,Ast der linken mittleren Hirnarterie zum linken Gyrus angularis,Ramus arteriae cerebri mediae sinistrae ad gyrum angularem sinistrum,arterial
branch of right anterior choroidal artery to posterior limb of right internal capsule,Ast der rechten vorderen Aderhautarterie zum hinteren Schenkel der rechten inneren Kapsel,Ramus arteriae choroideae anterioris dextrae ad crus posterius capsulae internae dextrae,arterial
branch of right middle cerebral artery to right angular gyrus,Ast der rechten mittleren Hirnarterie zum rechten Gyrus angularis,Ramus arteriae cerebri mediae dextrae ad gyrum angularem dextrum,arterial
