english,german,latin,system
anterior cusp of aortic valve,Vordere Tasche der Aortenklappe,Valvula semilunaris anterior valvae aortae,cardiac
anterior leaflet of mitral valve,Vorderes Segel der Mitralklappe,Cuspis anterior valvae mitralis,cardiac
anterior leaflet of tricuspid valve,Vorderes Segel der Trikuspidalklappe,Cuspis anterior valvae tricuspidalis,cardiac
cavity of left atrium,Höhle des linken Vorhofs,Cavitas atrii sinistri,cardiac
cavity of left ventricle,Höhle der linken Herzkammer,Cavitas ventriculi sinistri,cardiac
cavity of right atrium,Höhle des rechten Vorhofs,Cavitas atrii dextri,cardiac
cavity of right ventricle,Höhle der rechten Herzkammer,Cavitas ventriculi dextri,cardiac
fourth ventricle,Vierter Hirnventrikel,Ventriculus quartus,cardiac
interventricular foramen,Zwischenkammerloch,Foramen interventriculare,cardiac
left anterior cusp of pulmonary valve,Linke vordere Tasche der Pulmonalklappe,Valvula semilunaris anterior sinistra valvae trunci pulmonalis,cardiac
left lateral ventricle,Linker Seitenventrikel,Ventriculus lateralis sinister,cardiac
left posterior cusp of aortic valve,Linke hintere Tasche der Aortenklappe,Valvula semilunaris posterior sinistra valvae aortae,cardiac
posterior cusp of pulmonary valve,Hintere Tasche der Pulmonalklappe,Valvula semilunaris posterior valvae trunci pulmonalis,cardiac
posterior leaflet of mitral valve,Hinteres Segel der Mitralklappe,Cuspis posterior valvae mitralis,cardiac
posterior leaflet of tricuspid valve,Hinteres Segel der Trikuspidalklappe,Cuspis posterior valvae tricuspidalis,cardiac
right anterior cusp of pulmonary valve,Rechte vordere Tasche der Pulmonalklappe,Valvula semilunaris anterior dextra valvae trunci pulmonalis,cardiac
right lateral ventricle,Rechter Seitenventrikel,Ventriculus lateralis dexter,cardiac
right posterior cusp of aortic valve,Rechte hintere Tasche der Aortenklappe,Valvula semilunaris posterior dextra valvae aortae,cardiac
septal leaflet of tricuspid valve,Septales Segel der Trikuspidalklappe,Cuspis septalis valvae tricuspidalis,cardiac
third ventricle,Dritter Hirnventrikel,Ventriculus tertius,cardiac
wall of left atrium,Wand des linken Vorhofs,Paries atrii sinistri,cardiac
wall of right atrium,Wand des rechten Vorhofs,Paries atrii dextri,cardiac
wall of ventricle,Wand der Herzkammer,Paries ventriculi,cardiac
