english,german,latin,system
abdomen,Bauch,Abdomen,concept
abdomen proper,Eigentlicher Bauch,Abdomen proprium,concept
abdominal part of pectoralis major,Bauchanteil des großen Brustmuskels,Pars abdominalis musculi pectoralis majoris,concept
abdominal segment of trunk,Bauchabschnitt des Rumpfes,Segmentum abdominale trunci,concept
abductor digiti minimi of foot,Kleinzehenabzieher des Fußes,Musculus abductor digiti minimi pedis,concept
abductor digiti minimi of hand,Kleinfingerabzieher der Hand,Musculus abductor digiti minimi manus,concept
abductor hallucis,Großzehenabzieher,Musculus abductor hallucis,concept
abductor pollicis brevis,Kurzer Daumenabzieher,Musculus abductor pollicis brevis,concept
abductor pollicis longus,Langer Daumenabzieher,Musculus abductor pollicis longus,concept
accessory subsuperior branch of posterior basal segmental artery,Akzessorischer subsuperiorer Ast der hinteren basalen Segmentarterie,Ramus subsuperior accessorius arteriae segmentalis basalis posterioris,concept
acromial branch of thoraco-acromial artery,Schulterhöhenast der Brust-Schulterhöhen-Arterie,Ramus acromialis arteriae thoracoacromialis,concept
acromial part of deltoid,Schulterhöhenanteil des Deltamuskels,Pars acromialis musculi deltoidei,concept
adductor brevis,Kurzer Schenkelanzieher,Musculus adductor brevis,concept
adductor longus,Langer Schenkelanzieher,Musculus adductor longus,concept
adductor magnus,Großer Schenkelanzieher,Musculus adductor magnus,concept
adductor minimus,Kleinster Schenkelanzieher,Musculus adductor minimus,concept
adrenal gland,Nebenniere,Glandula suprarenalis,concept
alimentary system,Verdauungssystem,Systema digestorium,concept
amygdala,Mandelkern,Corpus amygdaloideum,concept
anal part of perineum,Afterregion des Damms,Regio analis perinei,concept
anastomosis,Anastomose,Anastomosis,concept
anatomical boundary entity,Anatomische Grenzentität,Ens anatomicum limitans,concept
anatomical cavity,Anatomische Höhle,Cavitas anatomica,concept
anatomical cluster,Anatomischer Cluster,Aggregatum anatomicum,concept
anatomical compartment space,Anatomischer Kompartimentraum,Spatium compartimenti anatomici,concept
anatomical conduit space,Anatomischer Leitungsraum,Spatium conductus anatomici,concept
anatomical entity,Anatomische Entität,Ens anatomicum,concept
anatomical junction,Anatomische Verbindungsstelle,Junctio anatomica,concept
anatomical line,Anatomische Linie,Linea anatomica,concept
anatomical lobe,Anatomischer Lappen,Lobus anatomicus,concept
anatomical set,Anatomische Menge,Copia anatomica,concept
anatomical space,Anatomischer Raum,Spatium anatomicum,concept
anatomical structure,Anatomische Struktur,Structura anatomica,concept
anconeus,Knorrenmuskel,Musculus anconeus,concept
angular gyrus,Gyrus angularis,Gyrus angularis,concept
anterior abdominal wall,Vordere Bauchwand,Paries abdominis anterior,concept
anterior basal segmental artery,Vordere basale Segmentarterie,Arteria segmentalis basalis anterior,concept
anterior basal segmental bronchial tree,Vorderer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis anterior,concept
