english,german,latin,system
check ligament of left lateral rectus,Hemmungsband des linken seitlichen geraden Augenmuskels,Lacertus musculi recti lateralis sinistri,connective
check ligament of left medial rectus,Hemmungsband des linken inneren geraden Augenmuskels,Lacertus musculi recti medialis sinistri,connective
check ligament of right lateral rectus,Hemmungsband des rechten seitlichen geraden Augenmuskels,Lacertus musculi recti lateralis dextri,connective
check ligament of right medial rectus,Hemmungsband des rechten inneren geraden Augenmuskels,Lacertus musculi recti medialis dextri,connective
hyo-epiglottic ligament,Zungenbein-Kehldeckel-Band,Ligamentum hyoepiglotticum,connective
interosseous membrane of left forearm,Zwischenknochenmembran des linken Unterarms,Membrana interossea antebrachii sinistri,connective
interosseous membrane of left leg,Zwischenknochenmembran des linken Unterschenkels,Membrana interossea cruris sinistri,connective
interosseous membrane of right forearm,Zwischenknochenmembran des rechten Unterarms,Membrana interossea antebrachii dextri,connective
interosseous membrane of right leg,Zwischenknochenmembran des rechten Unterschenkels,Membrana interossea cruris dextri,connective
left calcaneal tendon,Linke Achillessehne,Tendo calcaneus sinister,connective
left conus elasticus,Linker Conus elasticus,Conus elasticus sinister,connective
left lateral thyrohyoid ligament,Linkes seitliches Schildknorpel-Zungenbein-Band,Ligamentum thyrohyoideum laterale sinistrum,connective
left long plantar ligament,Linkes langes Fußsohlenband,Ligamentum plantare longum sinistrum,connective
left pterygomandibular raphe,Linke Flügel-Unterkiefer-Naht,Raphe pterygomandibularis sinistra,connective
left stylohyoid ligament,Linkes Griffel-Zungenbein-Band,Ligamentum stylohyoideum sinistrum,connective
left tensor fasciae latae,Linker Schenkelbindenspanner,Musculus tensor fasciae latae sinister,connective
left thyrohyoid membrane,Linke Schildknorpel-Zungenbein-Membran,Membrana thyrohyoidea sinistra,connective
left vocal ligament,Linkes Stimmband,Ligamentum vocale sinistrum,connective
linea alba,Weiße Linie,Linea alba,connective
median cricothyroid ligament,Mittleres Ringknorpel-Schildknorpel-Band,Ligamentum cricothyroideum medianum,connective
median thyrohyoid ligament,Mittleres Schildknorpel-Zungenbein-Band,Ligamentum thyrohyoideum medianum,connective
pharyngeal raphe,Rachennaht,Raphe pharyngis,connective
right calcaneal tendon,Rechte Achillessehne,Tendo calcaneus dexter,connective
right conus elasticus,Rechter Conus elasticus,Conus elasticus dexter,connective
right intermediate tendon,Rechte Zwischensehne,Tendo intermedius dexter,connective
right lateral thyrohyoid ligament,Rechtes seitliches Schildknorpel-Zungenbein-Band,Ligamentum thyrohyoideum laterale dextrum,connective
right long plantar ligament,Rechtes langes Fußsohlenband,Ligamentum plantare longum dextrum,connective
right pterygomandibular raphe,Rechte Flügel-Unterkiefer-Naht,Raphe pterygomandibularis dextra,connective
right stylohyoid ligament,Rechtes Griffel-Zungenbein-Band,Ligamentum stylohyoideum dextrum,connective
right tensor fasciae latae,Rechter Schenkelbindenspanner,Musculus tensor fasciae latae dexter,connective
right thyrohyoid membrane,Rechte Schildknorpel-Zungenbein-Membran,Membrana thyrohyoidea dextra,connective
right vocal ligament,Rechtes Stimmband,Ligamentum vocale dextrum,connective
tendinous arch of levator ani,Sehnenbogen des Afterhebers,Arcus tendineus musculi levatoris ani,connective
tendon of right levator palpebrae superioris,Sehne des rechten Oberlidhebers,Tendo musculi levatoris palpebrae superioris dextri,connective
thyro-epiglottic ligament,Schildknorpel-Kehldeckel-Band,Ligamentum thyroepiglotticum,connective
trochlea of left superior oblique,Rolle des linken oberen schrägen Augenmuskels,Trochlea musculi obliqui superioris sinistri,connective
trochlea of right superior oblique,Rolle des rechten oberen schrägen Augenmuskels,Trochlea musculi obliqui superioris dextri,connective
