english,german,latin,system
anterior inferior tributary of right hepatic biliary tree,Vorderer unterer Segmentzufluss des rechten Gallengangsystems,Ramus segmentalis anterior inferior arboris biliaris dextri,digestive
anterior superior tributary of right hepatic biliary tree,Vorderer oberer Segmentzufluss des rechten Gallengangsystems,Ramus segmentalis anterior superior arboris biliaris dextri,digestive
appendix,Wurmfortsatz,Appendix vermiformis,digestive
ascending colon,Aufsteigender Dickdarm,Colon ascendens,digestive
caudate lobe of liver,Schwanzlappen der Leber,Lobus caudatus hepatis,digestive
caudate lobe tributary of left hepatic biliary tree,Schwanzlappenzufluss des linken Gallengangsystems,Ramus lobi caudati arboris biliaris sinistri,digestive
common hepatic duct,Gemeinsamer Lebergang,Ductus hepaticus communis,digestive
cystic duct,Gallenblasengang,Ductus cysticus,digestive
descending colon,Absteigender Dickdarm,Colon descendens,digestive
distal part of ileum,Distaler Teil des Krummdarms,Pars distalis ilei,digestive
distal part of jejunum,Distaler Teil des Leerdarms,Pars distalis jejuni,digestive
duodenum,Zwölffingerdarm,Duodenum,digestive
esophagus,Speiseröhre,Oesophagus,digestive
gallbladder,Gallenblase,Vesica biliaris,digestive
ileocecal junction,Ileozäkalübergang,Junctio ileocaecalis,digestive
lateral inferior tributary of left hepatic biliary tree,Seitlicher unterer Segmentzufluss des linken Gallengangsystems,Ramus segmentalis lateralis inferior arboris biliaris sinistri,digestive
lateral superior tributary of left hepatic biliary tree,Seitlicher oberer Segmentzufluss des linken Gallengangsystems,Ramus segmentalis lateralis superior arboris biliaris sinistri,digestive
left duct of caudate lobe of liver,Linker Gang des Schwanzlappens der Leber,Ductus lobi caudati hepatis sinister,digestive
left hepatic duct,Linker Lebergang,Ductus hepaticus sinister,digestive
left sublingual gland,Linke Unterzungendrüse,Glandula sublingualis sinistra,digestive
left submandibular gland,Linke Unterkieferdrüse,Glandula submandibularis sinistra,digestive
medial inferior tributary of left hepatic biliary tree,Medialer unterer Segmentzufluss des linken Gallengangsystems,Ramus segmentalis medialis inferior arboris biliaris sinistri,digestive
medial superior tributary of left hepatic biliary tree,Medialer oberer Segmentzufluss des linken Gallengangsystems,Ramus segmentalis medialis superior arboris biliaris sinistri,digestive
mesentery of small intestine,Dünndarmgekröse,Mesenterium,digestive
mesoappendix,Wurmfortsatzgekröse,Mesoappendix,digestive
middle part of ileum,Mittlerer Teil des Krummdarms,Pars media ilei,digestive
middle part of jejunum,Mittlerer Teil des Leerdarms,Pars media jejuni,digestive
pancreas,Bauchspeicheldrüse,Pancreas,digestive
pancreatic duct,Bauchspeicheldrüsengang,Ductus pancreaticus,digestive
pancreatic duct tree,Bauchspeicheldrüsen-Gangsystem,Arbor ductuum pancreaticorum,digestive
parenchyma of pancreas,Parenchym der Bauchspeicheldrüse,Parenchyma pancreatis,digestive
posterior inferior tributary of right hepatic biliary tree,Hinterer unterer Segmentzufluss des rechten Gallengangsystems,Ramus segmentalis posterior inferior arboris biliaris dextri,digestive
posterior superior tributary of right hepatic biliary tree,Hinterer oberer Segmentzufluss des rechten Gallengangsystems,Ramus segmentalis posterior superior arboris biliaris dextri,digestive
proximal part of ileum,Proximaler Teil des Krummdarms,Pars proximalis ilei,digestive
proximal part of jejunum,Proximaler Teil des Leerdarms,Pars proximalis jejuni,digestive
rectum,Mastdarm,Rectum,digestive
right hepatic duct,Rechter Lebergang,Ductus hepaticus dexter,digestive
right sublingual gland,Rechte Unterzungendrüse,Glandula sublingualis dextra,digestive
right submandibular gland,Rechte Unterkieferdrüse,Glandula submandibularis dextra,digestive
stomach,Magen,Gaster,digestive
taenia libera,Freie Tänie,Taenia libera,digestive
taenia mesocolica,Mesokolische Tänie,Taenia mesocolica,digestive
taenia omentalis,Omentale Tänie,Taenia omentalis,digestive
tongue,Zunge,Lingua,digestive
transverse colon,Querer Dickdarm,Colon transversum,digestive
transverse mesocolon,Gekröse des queren Dickdarms,Mesocolon transversum,digestive
