english,german,latin,system
abdominal part of left pectoralis major,Bauchanteil des linken großen Brustmuskels,Pars abdominalis musculi pectoralis majoris sinistri,muscular
abdominal part of right pectoralis major,Bauchanteil des rechten großen Brustmuskels,Pars abdominalis musculi pectoralis majoris dextri,muscular
abductor digiti minimi of left foot,Kleinzehenabzieher des linken Fußes,Musculus abductor digiti minimi pedis sinistri,muscular
abductor digiti minimi of left hand,Kleinfingerabzieher der linken Hand,Musculus abductor digiti minimi manus sinistrae,muscular
abductor digiti minimi of right foot,Kleinzehenabzieher des rechten Fußes,Musculus abductor digiti minimi pedis dextri,muscular
abductor digiti minimi of right hand,Kleinfingerabzieher der rechten Hand,Musculus abductor digiti minimi manus dextrae,muscular
acromial part of left deltoid,Schulterhöhenanteil des linken Deltamuskels,Pars acromialis musculi deltoidei sinistri,muscular
acromial part of right deltoid,Schulterhöhenanteil des rechten Deltamuskels,Pars acromialis musculi deltoidei dextri,muscular
anterior papillary muscle of right ventricle,Vorderer Papillarmuskel der rechten Herzkammer,Musculus papillaris anterior ventriculi dextri,muscular
anterolateral head of lateral papillary muscle of left ventricle,Vorderer seitlicher Kopf des seitlichen Papillarmuskels der linken Herzkammer,Caput anterolaterale musculi papillaris lateralis ventriculi sinistri,muscular
ascending part of left trapezius,Aufsteigender Anteil des linken Trapezmuskels,Pars ascendens musculi trapezii sinistri,muscular
ascending part of right trapezius,Aufsteigender Anteil des rechten Trapezmuskels,Pars ascendens musculi trapezii dextri,muscular
clavicular part of left deltoid,Schlüsselbeinanteil des linken Deltamuskels,Pars clavicularis musculi deltoidei sinistri,muscular
clavicular part of left pectoralis major,Schlüsselbeinanteil des linken großen Brustmuskels,Pars clavicularis musculi pectoralis majoris sinistri,muscular
clavicular part of right deltoid,Schlüsselbeinanteil des rechten Deltamuskels,Pars clavicularis musculi deltoidei dextri,muscular
clavicular part of right pectoralis major,Schlüsselbeinanteil des rechten großen Brustmuskels,Pars clavicularis musculi pectoralis majoris dextri,muscular
descending part of left trapezius,Absteigender Anteil des linken Trapezmuskels,Pars descendens musculi trapezii sinistri,muscular
descending part of right trapezius,Absteigender Anteil des rechten Trapezmuskels,Pars descendens musculi trapezii dextri,muscular
diaphragm,Zwerchfell,Diaphragma,muscular
external anal sphincter,Äußerer Afterschließmuskel,Musculus sphincter ani externus,muscular
external intercostal muscle,Äußerer Zwischenrippenmuskel,Musculus intercostalis externus,muscular
