english,german,latin,system
anterior commissure,Vordere Kommissur,Commissura anterior,nervous
anterior part of left superior temporal gyrus,Vorderer Teil des linken Gyrus temporalis superior,Pars anterior gyri temporalis superioris sinistri,nervous
anterior part of right superior temporal gyrus,Vorderer Teil des rechten Gyrus temporalis superior,Pars anterior gyri temporalis superioris dextri,nervous
brachium of left inferior colliculus,Arm des linken unteren Hügels,Brachium colliculi inferioris sinistri,nervous
brachium of left superior colliculus,Arm des linken oberen Hügels,Brachium colliculi superioris sinistri,nervous
brachium of right inferior colliculus,Arm des rechten unteren Hügels,Brachium colliculi inferioris dextri,nervous
brachium of right superior colliculus,Arm des rechten oberen Hügels,Brachium colliculi superioris dextri,nervous
central canal of spinal cord,Zentralkanal des Rückenmarks,Canalis centralis medullae spinalis,nervous
cerebellum,Kleinhirn,Cerebellum,nervous
cerebral aqueduct,Hirnwasserleitung,Aqueductus mesencephali,nervous
commissure of fornix of forebrain,Kommissur des Fornix,Commissura fornicis,nervous
communicating branch of left nasociliary nerve with left ciliary ganglion,Verbindungsast des linken Nasoziliarnervs zum linken Ziliarganglion,Ramus communicans nervi nasociliaris sinistri cum ganglio ciliari sinistro,nervous
communicating branch of right nasociliary nerve with right ciliary ganglion,Verbindungsast des rechten Nasoziliarnervs zum rechten Ziliarganglion,Ramus communicans nervi nasociliaris dextri cum ganglio ciliari dextro,nervous
corpus callosum,Balken,Corpus callosum,nervous
habenula,Habenula,Habenula,nervous
hypothalamus,Hypothalamus,Hypothalamus,nervous
inferior branch of left oculomotor nerve,Unterer Ast des linken Augenbewegungsnervs,Ramus inferior nervi oculomotorii sinistri,nervous
inferior branch of right oculomotor nerve,Unterer Ast des rechten Augenbewegungsnervs,Ramus inferior nervi oculomotorii dextri,nervous
interpeduncular fossa,Interpedunkuläre Grube,Fossa interpeduncularis,nervous
lamina terminalis,Lamina terminalis,Lamina terminalis,nervous
left amygdala,Linker Mandelkern,Corpus amygdaloideum sinistrum,nervous
left angular gyrus,Linker Gyrus angularis,Gyrus angularis sinister,nervous
left anterior ethmoidal nerve,Linker vorderer Siebbeinnerv,Nervus ethmoidalis anterior sinister,nervous
left caudate nucleus,Linker Schweifkern,Nucleus caudatus sinister,nervous
left ciliary ganglion,Linkes Ziliarganglion,Ganglion ciliare sinistrum,nervous
left cingulate gyrus,Linke Gürtelwindung,Gyrus cinguli sinister,nervous
left fornix of forebrain,Linker Fornix,Fornix sinister,nervous
left frontal nerve,Linker Stirnnerv,Nervus frontalis sinister,nervous
left fusiform gyrus,Linke Spindelförmige Windung,Gyrus fusiformis sinister,nervous
left globus pallidus,Linkes Pallidum,Globus pallidus sinister,nervous
left hippocampus,Linker Hippocampus,Hippocampus sinister,nervous
left inferior colliculus,Linker unterer Hügel,Colliculus inferior sinister,nervous
left inferior frontal gyrus,Linke untere Stirnwindung,Gyrus frontalis inferior sinister,nervous
left inferior temporal gyrus,Linke untere Schläfenwindung,Gyrus temporalis inferior sinister,nervous
left infratrochlear nerve,Linker Nervus infratrochlearis,Nervus infratrochlearis sinister,nervous
left insula,Linke Inselrinde,Insula sinistra,nervous
left internal capsule,Linke innere Kapsel,Capsula interna sinistra,nervous
left lacrimal nerve,Linker Tränennerv,Nervus lacrimalis sinister,nervous
left lateral geniculate body,Linker seitlicher Kniehöcker,Corpus geniculatum laterale sinistrum,nervous
left long ciliary nerve,Linker langer Ziliarnerv,Nervus ciliaris longus sinister,nervous
left medial geniculate body,Linker medialer Kniehöcker,Corpus geniculatum mediale sinistrum,nervous
left middle frontal gyrus,Linke mittlere Stirnwindung,Gyrus frontalis medius sinister,nervous
left middle temporal gyrus,Linke mittlere Schläfenwindung,Gyrus temporalis medius sinister,nervous
left nasociliary nerve,Linker Nasoziliarnerv,Nervus nasociliaris sinister,nervous
left occipital lobe,Linker Hinterhauptslappen,Lobus occipitalis sinister,nervous
left ophthalmic nerve,Linker Augennerv,Nervus ophthalmicus sinister,nervous
left optic nerve,Linker Sehnerv,Nervus opticus sinister,nervous
left optic tract,Linke Sehbahn,Tractus opticus sinister,nervous
left parahippocampal gyrus,Linke Parahippocampale Windung,Gyrus parahippocampalis sinister,nervous
left postcentral gyrus,Linke hintere Zentralwindung,Gyrus postcentralis sinister,nervous
left posterior ethmoidal nerve,Linker hinterer Siebbeinnerv,Nervus ethmoidalis posterior sinister,nervous
left precentral gyrus,Linke vordere Zentralwindung,Gyrus precentralis sinister,nervous
left putamen,Linkes Putamen,Putamen sinistrum,nervous
left stria medullaris of thalamus,Linker Markstreifen des Thalamus,Stria medullaris thalami sinistra,nervous
left stria terminalis,Linke Stria terminalis,Stria terminalis sinistra,nervous
left superior colliculus,Linker oberer Hügel,Colliculus superior sinister,nervous
left superior frontal gyrus,Linke obere Stirnwindung,Gyrus frontalis superior sinister,nervous
left superior parietal lobule,Linkes oberes Scheitelläppchen,Lobulus parietalis superior sinister,nervous
left supra-orbital nerve,Linker oberer Augenhöhlennerv,Nervus supraorbitalis sinister,nervous
left supramarginal gyrus,Linker Gyrus supramarginalis,Gyrus supramarginalis sinister,nervous
left supratrochlear nerve,Linker Nervus supratrochlearis,Nervus supratrochlearis sinister,nervous
left thalamus,Linker Thalamus,Thalamus sinister,nervous
left trochlear nerve,Linker Rollnerv,Nervus trochlearis sinister,nervous
mammillary body,Brustwarzenkörper,Corpus mamillare,nervous
medulla oblongata,Verlängertes Mark,Medulla oblongata,nervous
midbrain,Mittelhirn,Mesencephalon,nervous
optic chiasm,Sehnervenkreuzung,Chiasma opticum,nervous
orbital gyrus,Orbitale Windung,Gyrus orbitalis,nervous
peduncle of midbrain,Hirnschenkel,Pedunculus cerebri,nervous
pons,Brücke,Pons,nervous
posterior commissure,Hintere Kommissur,Commissura posterior,nervous
posterior part of left superior temporal gyrus,Hinterer Teil des linken Gyrus temporalis superior,Pars posterior gyri temporalis superioris sinistri,nervous
posterior part of right superior temporal gyrus,Hinterer Teil des rechten Gyrus temporalis superior,Pars posterior gyri temporalis superioris dextri,nervous
right amygdala,Rechter Mandelkern,Corpus amygdaloideum dextrum,nervous
right angular gyrus,Rechter Gyrus angularis,Gyrus angularis dexter,nervous
right anterior ethmoidal nerve,Rechter vorderer Siebbeinnerv,Nervus ethmoidalis anterior dexter,nervous
right caudate nucleus,Rechter Schweifkern,Nucleus caudatus dexter,nervous
right ciliary ganglion,Rechtes Ziliarganglion,Ganglion ciliare dextrum,nervous
right cingulate gyrus,Rechte Gürtelwindung,Gyrus cinguli dexter,nervous
right fornix of forebrain,Rechter Fornix,Fornix dexter,nervous
