english,german,latin,system
corpus cavernosum of penis,Penisschwellkörper,Corpus cavernosum penis,reproductive
corpus spongiosum of penis,Harnröhrenschwellkörper,Corpus spongiosum penis,reproductive
glans penis,Eichel,Glans penis,reproductive
left deferent duct,Linker Samenleiter,Ductus deferens sinister,reproductive
left epididymis,Linker Nebenhoden,Epididymis sinistra,reproductive
left seminal vesicle,Linke Samenblase,Glandula vesiculosa sinistra,reproductive
left testis,Linker Hoden,Testis sinister,reproductive
prostate,Vorsteherdrüse,Prostata,reproductive
right deferent duct,Rechter Samenleiter,Ductus deferens dexter,reproductive
right epididymis,Rechter Nebenhoden,Epididymis dextra,reproductive
right seminal vesicle,Rechte Samenblase,Glandula vesiculosa dextra,reproductive
right testis,Rechter Hoden,Testis dexter,reproductive
left kidney,Linke Niere,Ren sinister,urinary
left ureter,Linker Harnleiter,Ureter sinister,urinary
right kidney,Rechte Niere,Ren dexter,urinary
right ureter,Rechter Harnleiter,Ureter dexter,urinary
urethra,Harnröhre,Urethra,urinary
urinary bladder,Harnblase,Vesica urinaria,urinary
eyebrow,Augenbraue,Supercilium,integumentary
hair of head,Kopfhaar,Capilli,integumentary
lip,Lippe,Labium oris,integumentary
pubic hair,Schamhaar,Pubes,integumentary
skin,Haut,Cutis,integumentary
left adrenal gland,Linke Nebenniere,Glandula suprarenalis sinistra,endocrine
pineal body,Zirbeldrüse,Glandula pinealis,endocrine
pituitary gland,Hirnanhangsdrüse,Hypophysis,endocrine
right adrenal gland,Rechte Nebenniere,Glandula suprarenalis dextra,endocrine
left lobe of thymus,Linker Thymuslappen,Lobus sinister thymi,lymphatic
right lobe of thymus,Rechter Thymuslappen,Lobus dexter thymi,lymphatic
spleen,Milz,Splen,lymphatic
