english,german,latin,system
epiglottis,Kehldeckel,Epiglottis,respiratory
inferior lingular bronchial tree,Unterer Lingula-Bronchialbaum,Arbor bronchialis lingularis inferior,respiratory
lateral segmental bronchial tree,Seitlicher Segmentbronchialbaum,Arbor bronchialis segmentalis lateralis,respiratory
left anterior basal segmental bronchial tree,Linker vorderer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis anterior sinistra,respiratory
left anterior segmental bronchial tree,Linker vorderer Segmentbronchialbaum,Arbor bronchialis segmentalis anterior sinistra,respiratory
left apical segmental bronchial tree,Linker apikaler Segmentbronchialbaum,Arbor bronchialis segmentalis apicalis sinistra,respiratory
left inferior nasal concha,Linke untere Nasenmuschel,Concha nasalis inferior sinistra,respiratory
left inferior pharyngeal constrictor,Linker unterer Schlundschnürer,Musculus constrictor pharyngis inferior sinister,respiratory
left lateral basal segmental bronchial tree,Linker seitlicher basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis lateralis sinistra,respiratory
left lateral nasal cartilage,Linker seitlicher Nasenknorpel,Cartilago nasi lateralis sinistra,respiratory
left main bronchus,Linker Hauptbronchus,Bronchus principalis sinister,respiratory
left medial basal segmental bronchial tree,Linker medialer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis medialis sinistra,respiratory
left middle pharyngeal constrictor,Linker mittlerer Schlundschnürer,Musculus constrictor pharyngis medius sinister,respiratory
left palatopharyngeus,Linker Gaumen-Rachen-Muskel,Musculus palatopharyngeus sinister,respiratory
left posterior basal segmental bronchial tree,Linker hinterer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis posterior sinistra,respiratory
left posterior segmental bronchial tree,Linker hinterer Segmentbronchialbaum,Arbor bronchialis segmentalis posterior sinistra,respiratory
left salpingopharyngeus,Linker Tuben-Rachen-Muskel,Musculus salpingopharyngeus sinister,respiratory
left stylopharyngeus,Linker Griffel-Rachen-Muskel,Musculus stylopharyngeus sinister,respiratory
left superior pharyngeal constrictor,Linker oberer Schlundschnürer,Musculus constrictor pharyngis superior sinister,respiratory
left superior segmental bronchial tree,Linker oberer Segmentbronchialbaum,Arbor bronchialis segmentalis superior sinistra,respiratory
medial segmental bronchial tree,Medialer Segmentbronchialbaum,Arbor bronchialis segmentalis medialis,respiratory
right anterior basal segmental bronchial tree,Rechter vorderer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis anterior dextra,respiratory
right anterior segmental bronchial tree,Rechter vorderer Segmentbronchialbaum,Arbor bronchialis segmentalis anterior dextra,respiratory
right apical segmental bronchial tree,Rechter apikaler Segmentbronchialbaum,Arbor bronchialis segmentalis apicalis dextra,respiratory
right inferior nasal concha,Rechte untere Nasenmuschel,Concha nasalis inferior dextra,respiratory
right inferior pharyngeal constrictor,Rechter unterer Schlundschnürer,Musculus constrictor pharyngis inferior dexter,respiratory
right lateral basal segmental bronchial tree,Rechter seitlicher basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis lateralis dextra,respiratory
right lateral nasal cartilage,Rechter seitlicher Nasenknorpel,Cartilago nasi lateralis dextra,respiratory
right main bronchus proper,Rechter eigentlicher Hauptbronchus,Bronchus principalis proprius dexter,respiratory
right medial basal segmental bronchial tree,Rechter medialer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis medialis dextra,respiratory
right middle pharyngeal constrictor,Rechter mittlerer Schlundschnürer,Musculus constrictor pharyngis medius dexter,respiratory
right palatopharyngeus,Rechter Gaumen-Rachen-Muskel,Musculus palatopharyngeus dexter,respiratory
right posterior basal segmental bronchial tree,Rechter hinterer basaler Segmentbronchialbaum,Arbor bronchialis segmentalis basalis posterior dextra,respiratory
right posterior segmental bronchial tree,Rechter hinterer Segmentbronchialbaum,Arbor bronchialis segmentalis posterior dextra,respiratory
right salpingopharyngeus,Rechter Tuben-Rachen-Muskel,Musculus salpingopharyngeus dexter,respiratory
right stylopharyngeus,Rechter Griffel-Rachen-Muskel,Musculus stylopharyngeus dexter,respiratory
right superior pharyngeal constrictor,Rechter oberer Schlundschnürer,Musculus constrictor pharyngis superior dexter,respiratory
right superior segmental bronchial tree,Rechter oberer Segmentbronchialbaum,Arbor bronchialis segmentalis superior dextra,respiratory
septal nasal cartilage,Nasenscheidewandknorpel,Cartilago septi nasi,respiratory
superior lingular bronchial tree,Oberer Lingula-Bronchialbaum,Arbor bronchialis lingularis superior,respiratory
trachea,Luftröhre,Trachea,respiratory
