english,german,latin,system
anterior chamber of left eyeball,Vordere Augenkammer des linken Augapfels,Camera anterior bulbi oculi sinistri,sensory
anterior chamber of right eyeball,Vordere Augenkammer des rechten Augapfels,Camera anterior bulbi oculi dextri,sensory
choroid plexus of cerebral hemisphere,Adergeflecht der Großhirnhemisphäre,Plexus choroideus hemispherii cerebri,sensory
external ear,Äußeres Ohr,Auris externa,sensory
flexor retinaculum of left wrist,Beugesehnen-Halteband des linken Handgelenks,Retinaculum musculorum flexorum carpi sinistri,sensory
flexor retinaculum of right wrist,Beugesehnen-Halteband des rechten Handgelenks,Retinaculum musculorum flexorum carpi dextri,sensory
left choroid,Linke Aderhaut,Choroidea sinistra,sensory
left common tendinous ring,Linker gemeinsamer Sehnenring,Anulus tendineus communis sinister,sensory
left cornea,Linke Hornhaut,Cornea sinistra,sensory
left corona ciliaris,Linker Ziliarkranz,Corona ciliaris sinistra,sensory
left iris,Linke Regenbogenhaut,Iris sinistra,sensory
left lacrimal bone,Linkes Tränenbein,Os lacrimale sinistrum,sensory
left lacrimal canaliculus,Linkes Tränenkanälchen,Canaliculus lacrimalis sinister,sensory
left lacrimal gland,Linke Tränendrüse,Glandula lacrimalis sinistra,sensory
left lacrimal lake,Linker Tränensee,Lacus lacrimalis sinister,sensory
left lacrimal sac,Linker Tränensack,Saccus lacrimalis sinister,sensory
left lens,Linke Linse,Lens sinistra,sensory
left nasolacrimal duct,Linker Tränen-Nasen-Gang,Ductus nasolacrimalis sinister,sensory
left sclera,Linke Lederhaut,Sclera sinistra,sensory
left vitreous body,Linker Glaskörper,Corpus vitreum sinistrum,sensory
optic part of left retina,Optischer Teil der linken Netzhaut,Pars optica retinae sinistrae,sensory
optic part of right retina,Optischer Teil der rechten Netzhaut,Pars optica retinae dextrae,sensory
right choroid,Rechte Aderhaut,Choroidea dextra,sensory
right common tendinous ring,Rechter gemeinsamer Sehnenring,Anulus tendineus communis dexter,sensory
right cornea,Rechte Hornhaut,Cornea dextra,sensory
right corona ciliaris,Rechter Ziliarkranz,Corona ciliaris dextra,sensory
right iris,Rechte Regenbogenhaut,Iris dextra,sensory
right lacrimal bone,Rechtes Tränenbein,Os lacrimale dextrum,sensory
right lacrimal canaliculus,Rechtes Tränenkanälchen,Canaliculus lacrimalis dexter,sensory
right lacrimal gland,Rechte Tränendrüse,Glandula lacrimalis dextra,sensory
right lacrimal lake,Rechter Tränensee,Lacus lacrimalis dexter,sensory
right lacrimal sac,Rechter Tränensack,Saccus lacrimalis dexter,sensory
right lens,Rechte Linse,Lens dextra,sensory
right nasolacrimal duct,Rechter Tränen-Nasen-Gang,Ductus nasolacrimalis dexter,sensory
right sclera,Rechte Lederhaut,Sclera dextra,sensory
right vitreous body,Rechter Glaskörper,Corpus vitreum dextrum,sensory
suspensory ligament of left lens,Aufhängeband der linken Linse,Zonula ciliaris lentis sinistrae,sensory
suspensory ligament of right lens,Aufhängeband der rechten Linse,Zonula ciliaris lentis dextrae,sensory
tarsal plate of left lower eyelid,Lidplatte des linken Unterlids,Tarsus inferior palpebrae sinistrae,sensory
tarsal plate of left upper eyelid,Lidplatte des linken Oberlids,Tarsus superior palpebrae sinistrae,sensory
tarsal plate of right lower eyelid,Lidplatte des rechten Unterlids,Tarsus inferior palpebrae dextrae,sensory
tarsal plate of right upper eyelid,Lidplatte des rechten Oberlids,Tarsus superior palpebrae dextrae,sensory
