english,german,latin,system
atlas,Atlas,Atlas,skeletal
axis,Axis,Axis,skeletal
body of sternum,Brustbeinkörper,Corpus sterni,skeletal
cricoid cartilage,Ringknorpel,Cartilago cricoidea,skeletal
distal phalanx of left big toe,Endphalanx der linken Großzehe,Phalanx distalis hallucis sinistri,skeletal
distal phalanx of left fourth toe,Endphalanx der linken vierten Zehe,Phalanx distalis digiti quarti pedis sinistri,skeletal
distal phalanx of left index finger,Endphalanx des linken Zeigefingers,Phalanx distalis indicis sinistri,skeletal
distal phalanx of left little finger,Endphalanx des linken Kleinfingers,Phalanx distalis digiti minimi manus sinistri,skeletal
distal phalanx of left little toe,Endphalanx der linken Kleinzehe,Phalanx distalis digiti minimi pedis sinistri,skeletal
distal phalanx of left middle finger,Endphalanx des linken Mittelfingers,Phalanx distalis digiti medii sinistri,skeletal
distal phalanx of left ring finger,Endphalanx des linken Ringfingers,Phalanx distalis digiti anularis sinistri,skeletal
distal phalanx of left second toe,Endphalanx der linken zweiten Zehe,Phalanx distalis digiti secundi pedis sinistri,skeletal
distal phalanx of left third toe,Endphalanx der linken dritten Zehe,Phalanx distalis digiti tertii pedis sinistri,skeletal
distal phalanx of left thumb,Endphalanx des linken Daumens,Phalanx distalis pollicis sinistri,skeletal
distal phalanx of right big toe,Endphalanx der rechten Großzehe,Phalanx distalis hallucis dextri,skeletal
distal phalanx of right fourth toe,Endphalanx der rechten vierten Zehe,Phalanx distalis digiti quarti pedis dextri,skeletal
distal phalanx of right index finger,Endphalanx des rechten Zeigefingers,Phalanx distalis indicis dextri,skeletal
distal phalanx of right little finger,Endphalanx des rechten Kleinfingers,Phalanx distalis digiti minimi manus dextri,skeletal
distal phalanx of right little toe,Endphalanx der rechten Kleinzehe,Phalanx distalis digiti minimi pedis dextri,skeletal
distal phalanx of right middle finger,Endphalanx des rechten Mittelfingers,Phalanx distalis digiti medii dextri,skeletal
distal phalanx of right ring finger,Endphalanx des rechten Ringfingers,Phalanx distalis digiti anularis dextri,skeletal
