english,german,latin,system
accessory hemiazygos vein,Akzessorische Hemiazygosvene,Vena hemiazygos accessoria,venous
anterior cardiac vein,Vordere Herzvene,Vena cardiaca anterior,venous
anterior inferior segmental branch of right portal vein,Vorderer unterer Segmentast der rechten Pfortader,Ramus segmentalis anterior inferior venae portae dextrae,venous
anterior inferior segmental tributary of middle hepatic vein,Vorderer unterer Segmentzufluss der mittleren Lebervene,Ramus segmentalis anterior inferior venae hepaticae intermediae,venous
anterior interventricular vein,Vordere Zwischenkammervene,Vena interventricularis anterior,venous
anterior part of lateral segmental vein,Vorderer Teil der seitlichen Segmentvene,Pars anterior venae segmentalis lateralis,venous
anterior part of right apical segmental vein,Vorderer Teil der rechten apikalen Segmentvene,Pars anterior venae segmentalis apicalis dextrae,venous
anterior superior segmental branch of right portal vein,Vorderer oberer Segmentast der rechten Pfortader,Ramus segmentalis anterior superior venae portae dextrae,venous
anterior superior segmental tributary of right hepatic vein,Vorderer oberer Segmentzufluss der rechten Lebervene,Ramus segmentalis anterior superior venae hepaticae dextrae,venous
apical part of right apical segmental vein,Apikaler Teil der rechten apikalen Segmentvene,Pars apicalis venae segmentalis apicalis dextrae,venous
ascending lumbar vein,Aufsteigende Lendenvene,Vena lumbalis ascendens,venous
azygos vein,Azygosvene,Vena azygos,venous
caudate lobe branch of left portal vein,Schwanzlappenast der linken Pfortader,Ramus lobi caudati venae portae sinistrae,venous
caudate lobe branch of right portal vein,Schwanzlappenast der rechten Pfortader,Ramus lobi caudati venae portae dextrae,venous
common palmar digital vein,Gemeinsame Hohlhand-Fingervene,Vena digitalis palmaris communis,venous
coronary sinus,Koronarsinus,Sinus coronarius,venous
deep dorsal vein of penis,Tiefe dorsale Penisvene,Vena dorsalis profunda penis,venous
dorsal metacarpal vein,Dorsale Mittelhandvene,Vena metacarpalis dorsalis,venous
dorsal venous arch of left foot,Linker dorsaler Fußvenenbogen,Arcus venosus dorsalis pedis sinistri,venous
dorsal venous arch of right foot,Rechter dorsaler Fußvenenbogen,Arcus venosus dorsalis pedis dextri,venous
dorsal venous network of left hand,Linkes dorsales Handvenennetz,Rete venosum dorsale manus sinistrae,venous
dorsal venous network of right hand,Rechtes dorsales Handvenennetz,Rete venosum dorsale manus dextrae,venous
great cardiac vein,Große Herzvene,Vena cardiaca magna,venous
hemiazygos vein,Hemiazygosvene,Vena hemiazygos,venous
hepatic portal vein,Pfortader,Vena portae hepatis,venous
hepatovenous segment ii,Lebervenensegment II,Segmentum hepatovenosum II,venous
hepatovenous segment iii,Lebervenensegment III,Segmentum hepatovenosum III,venous
hepatovenous segment iv,Lebervenensegment IV,Segmentum hepatovenosum IV,venous
hepatovenous segment ix,Lebervenensegment IX,Segmentum hepatovenosum IX,venous
hepatovenous segment v,Lebervenensegment V,Segmentum hepatovenosum V,venous
hepatovenous segment vi,Lebervenensegment VI,Segmentum hepatovenosum VI,venous
hepatovenous segment vii,Lebervenensegment VII,Segmentum hepatovenosum VII,venous
hepatovenous segment viii,Lebervenensegment VIII,Segmentum hepatovenosum VIII,venous
ileal vein,Krummdarmvene,Vena ilealis,venous
ileocolic vein,Ileokolikvene,Vena ileocolica,venous
inferior lingular vein,Untere Lingula-Vene,Vena lingularis inferior,venous
inferior mesenteric vein,Untere Gekrösevene,Vena mesenterica inferior,venous
inferior part of medial segmental vein,Unterer Teil der medialen Segmentvene,Pars inferior venae segmentalis medialis,venous
inferior part of right anterior segmental vein,Unterer Teil der rechten vorderen Segmentvene,Pars inferior venae segmentalis anterioris dextrae,venous
inferior phrenic vein,Untere Zwerchfellvene,Vena phrenica inferior,venous
inferior vena cava,Untere Hohlvene,Vena cava inferior,venous
lateral inferior segmental branch of left portal vein,Seitlicher unterer Segmentast der linken Pfortader,Ramus segmentalis lateralis inferior venae portae sinistrae,venous
lateral inferior segmental tributary of left hepatic vein,Seitlicher unterer Segmentzufluss der linken Lebervene,Ramus segmentalis lateralis inferior venae hepaticae sinistrae,venous
lateral superior segmental branch of left portal vein,Seitlicher oberer Segmentast der linken Pfortader,Ramus segmentalis lateralis superior venae portae sinistrae,venous
lateral superior segmental tributary of left hepatic vein,Seitlicher oberer Segmentzufluss der linken Lebervene,Ramus segmentalis lateralis superior venae hepaticae sinistrae,venous
left anterior basal segmental vein,Linke vordere basale Segmentvene,Vena segmentalis basalis anterior sinistra,venous
left anterior circumflex humeral vein,Linke vordere Oberarm-Zirkumflexvene,Vena circumflexa humeri anterior sinistra,venous
left anterior segmental vein,Linke vordere Segmentvene,Vena segmentalis anterior sinistra,venous
left anterior tibial vein,Linke vordere Schienbeinvene,Vena tibialis anterior sinistra,venous
left apical segmental vein,Linke apikale Segmentvene,Vena segmentalis apicalis sinistra,venous
left ascending lumbar vein,Linke aufsteigende Lendenvene,Vena lumbalis ascendens sinistra,venous
left axillary vein,Linke Achselvene,Vena axillaris sinistra,venous
left basilic vein,Linke Basilikavene,Vena basilica sinistra,venous
left brachiocephalic vein,Linke Arm-Kopf-Vene,Vena brachiocephalica sinistra,venous
left cephalic vein,Linke Kopfvene,Vena cephalica sinistra,venous
